frame_id,x1,y1,x2,y2,score
6,1103,626,1199,679,1.0
6,290,543,396,584,1.0
11,1077,528,1163,601,1.0
11,394,352,484,433,1.0
12,1076,513,1168,582,1.0
19,248,664,320,711,1.0
19,1046,397,1118,461,1.0
20,1043,385,1113,446,1.0
21,306,665,374,720,1.0
23,110,664,175,720,1.0
25,109,629,198,715,1.0
25,329,559,435,659,1.0
26,340,530,456,643,1.0
26,915,347,980,406,1.0
27,352,513,429,579,1.0
28,146,585,240,674,1.0
29,604,412,685,461,1.0
29,1199,360,1280,437,1.0
30,165,582,248,665,1.0
31,119,537,184,581,1.0
32,140,507,255,572,1.0
33,152,492,255,566,1.0
33,618,362,696,420,1.0
34,171,478,261,545,1.0
34,622,355,698,412,1.0
35,177,464,273,534,1.0
35,624,347,701,404,1.0
36,190,451,272,522,1.0
36,627,339,703,397,1.0
37,213,424,303,491,1.0
37,466,353,527,410,1.0
37,630,325,706,389,1.0
38,424,667,485,720,1.0
38,0,558,92,635,1.0
38,225,411,312,481,1.0
38,474,342,533,399,1.0
38,633,317,708,374,1.0
39,424,652,496,720,1.0
39,0,547,95,625,1.0
39,235,399,343,468,1.0
39,636,309,710,372,1.0
40,425,641,507,720,1.0
40,16,536,106,604,1.0
40,246,388,352,455,1.0
40,640,302,712,367,1.0
41,29,522,109,597,1.0
41,256,376,359,443,1.0
41,642,294,713,363,1.0
42,275,355,374,441,1.0
42,497,290,563,345,1.0
43,66,477,171,558,1.0
43,284,344,382,428,1.0
43,649,273,718,341,1.0
43,502,273,567,335,1.0
44,64,478,188,585,1.0
44,293,334,390,419,1.0
44,509,271,572,324,1.0
45,96,467,205,571,1.0
45,302,324,396,413,1.0
45,516,262,577,315,1.0
46,107,455,212,548,1.0
46,311,314,403,402,1.0
46,657,252,723,316,1.0
47,673,650,765,720,1.0
47,113,428,249,540,1.0
47,662,239,726,299,1.0
48,677,654,748,720,1.0
48,126,418,258,539,1.0
48,663,232,728,297,1.0
49,664,227,729,287,1.0
50,148,406,262,519,1.0
50,667,221,731,283,1.0
51,669,215,732,273,1.0
52,181,378,300,483,1.0
53,192,350,308,461,1.0
53,677,197,737,253,1.0
54,202,362,317,448,1.0
54,677,192,739,248,1.0
55,213,353,315,440,1.0
55,679,187,740,246,1.0
56,222,345,332,427,1.0
56,681,181,742,240,1.0
57,242,328,348,413,1.0
58,1188,492,1250,549,1.0
58,1175,414,1273,497,1.0
58,252,320,355,405,1.0
59,261,313,363,399,1.0
60,8,662,76,720,1.0
60,254,655,328,720,1.0
60,1178,459,1238,505,1.0
60,723,444,803,512,1.0
60,1165,385,1255,465,1.0
60,267,305,371,407,1.0
61,267,655,332,720,1.0
